Title,Company,Posted on,Location,Experience,Skills
SQL DBA,E Hook Systems,2025-09-20,Delhi,5-8 Years,"replication, performance tuning, sql, database, sql dba, oracle database, log shipping, mirroring"
Database developer  SQL Server,ESN TECHNOLOGIES,2025-09-19,Hyderabad,1-4 Years,"data warehousing, sql, database, data modeling, etl, ssas, database security, integration services, ssis"
"Analyst, SQL Database",Flex,2025-09-23,Coimbatore,4-6 Years,"sql database management, itil framework implementation, database stability assurance, enterprise database design, automation and monitoring, repair, amp, enhancements, mttr, manufacturing, mtbf, innovation, root cause, maintenance"
SQL Developer,realizer technologies,2025-09-19,Pune,0-3 Years,"triggers, sql, database, security, sql developer, json, data structures"
SQL SERVER Developer,Fulcrum Digital,2025-08-25,Pune,3-5 Years,"sql server development, t sql programming, database design, performance optimization, data integrity assurance, sql server developer, t-sql, database development, security, ssrs, data structures, triggers, sql server developer"
Datasbase Engineer (SQL),Litera,2025-08-26,Chicago,2-5 Years,"sql server expertise, database tuning, cloud database solutions, data security standards, technical leader, disaster recovery, database architecture, database administrator, debugging"
Sr. SQL DBA,INTERSOFTKK (INDIA) PVT. LTD.,2025-09-21,Bengaluru,6-9 Years,"disaster recovery, patching, database, windows nt, sql dba, technology consulting, mirroring, replication, dba, performance tuning, windows, veritas, log shipping, sql programming, sql database"
SSIS SQL Developer - Pan India,Tech Mahindra Ltd,2025-09-18,Bengaluru,5-8 Years,"database, xml"
SQL SERVER DBA,DBAMART,2025-09-02,United,8-11 Years,"ibm san, veritas volume manager, host, vmax, cifs, vms, lvm, oracle, database security, storage engineer, redhat, nfs, emc, solaris volume manager, unix, storage, database, linux, hypervisor, emc storage, storage virtualization, perl, san, rdbms, iscsi, hitachi, infrastructure, oracle rdbms"
SQL Developer,highrise solutions llp,2025-09-20,Pune,3-5 Years,"sql, ssrs, wpf, mvc, database design, symfony, system development, mysql, c#, .net, bi, database development, sql developer, visual basic, software engineer, team player, database developer, cobol, infrastructure, php, sql database"
PL/SQL Developer,CAPCO,2025-09-22,Chennai,3-5 Years,"oracle pl/sql, data modelling, sql tuning, unix shell scripting, fundamentals, autosys, pl/sql developer"
SQL Server DBA,Hewlett Packard Enterprise,2025-09-23,Bengaluru,3-5 Years,"sql server management, database performance tuning, database security optimization, query optimization techniques, dml, information technology, ssrs, database servers, database engine, cloud services, microsoft azure, ddl"
SQL Database Developer,CONNECTING 2 WORK,2025-09-21,Cochin,2-5 Years,"sql coding, triggers, database, postgresql, sql database"
Datasbase Engineer (SQL),Litera,2025-08-30,Ahmedabad,3-5 Years,"sql server expertise, database tuning, data security standards, cloud database solutions, technical leader, disaster recovery, database architecture, database administrator, debugging"
SQL-DEVELOPER,CONNECTING 2 WORK,2025-09-21,Thiruvananthapuram,6-9 Years,"triggers, sql, database"
Technical Architect  SQL,CONNECTING 2 WORK,2025-09-21,Cochin,10-13 Years,"sql coding, triggers, database, postgresql"
SQL Developer,ixia solutions llp,2025-09-20,Navi,0-3 Years,"dml, data warehousing, dbms, sql, database development, database, microsoft .net, sql developer, pl/sql, ddl"
SQL Developer Module Lead,Sopra Steria,2025-09-20,Bengaluru,3-6 Years,"advanced sql development, t sql scripting, database administration, etl process development, object oriented scripting, t-sql, postgresql, ssrs, project life cycle, mongodb, python, c #, nosql, neo4j, cassandra, sql server administration, forms"
Senior SQL Developer,IQVIA,2025-08-24,Bengaluru,8-11 Years,"systems analysis expertise, complex sql queries, rdbms proficiency, hive, business environment, system analysis, infrastructure"
Senior SQL Developer,savitr software services pvt ltd,2025-09-20,Hyderabad,8-12 Years,"reports, technical leadership, stored procedures, sql, database design, coding, memory management, security, database, xml parsing, application deployment, application development"
SQL Server/ MY SQL Database Developer,sonicsoft solutions,2025-09-20,Visakhapatnam,1-2 Years,"reports, crystal report, stored procedures, sql, database design, reporting services, sql server"
"Application Support (SQL, Excel)",FIS,2025-09-20,Mumbai,2-5 Years,"microsoft excel proficiency, customer service orientation, recruitment, workforce"
