Title,Company,Posted on,Location,Experience,Skills
Sr. Software Engineer,Tech Mahindra Ltd,2025-09-24,Hyderabad,4-12 Years,"java development, spring framework, reactjs expertise, code refactoring, mvc design patterns, security"
Senior Software Engineer (Full Stack Developer),SCA Technologies,2025-09-24,Pittsburgh,5-8 Years,"full stack development, java & spring boot, api development, sql database management, agile methodologies, rest api, senior software engineer, j2ee, cache, github, oracle, javascript, eclipse, primefaces, jsf, jquery, security, spring mvc, postgresql, senior software developer, debugging, json"
Hiring For Technical Lead  Java,krazy mantra hr solutions,2025-09-24,Mumbai,5-7 Years,"java development, spring boot, sql databases, microservices architecture, jsp & servlets, oracle, javascript"
3Pillar - Senior Full Stack Engineer - Java & Angular,brickred (3pillar global),2025-09-24,Mexico,4-7 Years,"java development, angular framework, microservices architecture, agile methodologies, problem solving, css, spring, javascript"
3Pillar - Senior Full Stack Engineer - Java & Angular,brickred (3pillar global),2025-09-24,Costa,4-7 Years,"java development, angular framework, agile methodologies, object oriented programming, microservices architecture, css, spring, problem solving, javascript"
Senior Software Backend Platform Engineer,HARMAN INTERNATIONAL,2025-09-24,Gurgaon,4-7 Years,"jee technologies, spring boot framework, restful web services, sql expertise, ci/cd configuration, algorithms, software design, jsp, jdbc, hibernate, database, spring mvc, postgresql, iam, devops, oops, j2ee, jpa, html, data structures, applets, junit, oracle, access management, spring framework"
Hiring For Senior Java Engineer,krazy mantra hr solutions,2025-09-24,Gurgaon,3-10 Years,"core java, j2ee, rest apis, spring mvc, aws, spring boot, soa"
Sr Software Engineer,gap inc.,2025-09-24,Hyderabad,2-5 Years,"software development, agile methodologies, java programming, microservices architecture, cloud technologies, docker, spring, security, data structures, mongodb, rdbms, oracle, spring boot, splunk"
Java Development Lead - Spring Boot & Microservices,SYNECHRON,2025-09-24,Bengaluru,6-8 Years,"java programming, spring framework, hibernate orm, agile methodologies, microservices architecture, software requirements, java se, api, cloud computing, oracle, software delivery, spring boot"
Java Developer,virtusa consulting services pvt. ltd.,2025-09-24,Chennai,6-9 Years,"java development, microservices architecture, sql programming, spring framework, ci/cd pipeline, database, security, uml, linux, jpa, data structures, api, oracle pl, github, jdk, spring boot, java programming, gateway"
Senior Java Developer (Spring & Hibernate),SYNECHRON,2025-09-24,Pune,8-11 Years,"java programming spring framework hibernate orm agile methodologies software development, mockito, sql, intellij idea, git, spring mvc, postgresql, java se, java ee, debugging, mysql, junit, oracle, java developer, eclipse, spring boot"
Senior Member of Technical Staff - SMTS,athenahealth,2025-09-24,Chennai,4-8 Years,"java development, cloud devops, backend technologies, agile methodologies, restful apis, security, spring boot"
Senior Software Engineer,MASTERCARD,2025-09-24,Pune,5-10 Years,"java jee development, agile methodologies, code review practices, microservices architecture, ci/cd pipeline expertise, information technology, senior software engineer, spring, apache, j2ee, oracle sql, hibernate, docker, security, linux, junit, spring boot, infrastructure"
Java Server Developer,CONNECTING 2 WORK,2025-09-24,Thiruvananthapuram,0-3 Years,"hibernate, spring framework, elastic search, security, java, postgresql, mysql"
