Title,Company,Posted on,Location,Experience,Skills
Cloud AI SWE Recruiter,Google India Pvt Ltd,2025-09-30,Ireland,5-6 Years,"ai recruiting expertise, full cycle recruiting, strategic relationship management, data driven insights, job posting, talent acquisition, workforce planning, recruitment, compensation"
Digital AI Workforce Specialist,Microsoft India Pvt Ltd,2025-09-30,Japan,2-4 Years,"ai workforce solutions, consultative selling, customer engagement, sales collaboration, technology adoption, orchestration, information technology"
"AI Recruiter, Cloud",Google India Pvt Ltd,2025-09-30,Singapore,8-11 Years,"technical recruiting, stakeholder management, innovative sourcing, data driven analysis, executive search, job posting, talent acquisition, recruitment, workforce, decision making, compensation"
Senior Analyst - Gen AI,INDEGENE,2025-09-30,Bengaluru,2-4 Years,"llm integration, genai frameworks, python programming, cloud platforms, ai/ml development, fundamentals, java, javascript"
Novel AI Testing Analyst,Google India Pvt Ltd,2025-09-30,Seattle,4-7 Years,"ai testing expertise, data analysis proficiency, job posting, recruitment, workforce, compensation"
Applied AI Engineer (Hybrid),crowdstrike,2025-09-30,Bengaluru,6-9 Years,"ai engineering expertise, software engineering discipline, evaluation frameworks design, retrieval augmented pipelines, orchestration, security, python, adapters, javascript, infrastructure"
Responsible AI Advisor,Microsoft India Pvt Ltd,2025-09-30,Redmond,6-12 Years,"risk management expertise, ethical ai practices, stakeholder engagement, sales enablement strategies, information technology, business analyst, system security, data science, san, consulting, nist"
Cloud Engineer AI,Google India Pvt Ltd,2025-09-30,Bengaluru,3-5 Years,"big data, python, algorithms, scala, software design, data warehousing, storage, cloud computing, infrastructure"
AI-Enabled Visual Designer,Xoxoday,2025-09-29,Bengaluru,3-5 Years,"visual storytelling, brand identity development, digital content creation, conceptual thinking, ideas, cutting, blending"
Artificial Intelligence (AI),EVERYMEDIA ENTERTAINMENT MARKETING PRIVATE LIMITED,2025-09-28,Mumbai,1-4 Years,"ai tool proficiency, digital literacy, time management, appointments, internet"
"Principal Enterprise AI Architect, Enterprise AI Platform - Agentic AI",Nvidia Graphics Pvt Ltd,2025-09-28,Canada,1-4 Years,"ai architecture design, systems integration, data management strategies, security compliance, cloud deployment models, orchestration, sharepoint, salesforce, crm, python, servicenow"
Artificial Intelligence (AI) AI  Empowered Productivity Specialist,every media technologies pvt. ltd.,2025-09-28,Mumbai,1-4 Years,"ai tool proficiency, time management, content enhancement, task automation, appointments, internet"
Cloud AI SWE Recruiter,Google India Pvt Ltd,2025-09-27,Ireland,6-9 Years,"ai talent acquisition, full cycle recruiting, data driven insights, relationship building, job posting, workforce planning, recruitment, compensation"
AI Scientist,Qure.ai,2025-09-27,Bengaluru,1-4 Years,"deep learning optimization, statistical analysis, machine learning implementation, algorithm development, data acquisition protocols, algorithms, natural language processing, artificial intelligence"
"AI Recruiter, Cloud",Google India Pvt Ltd,2025-09-26,Singapore,8-11 Years,"technical recruiting, executive stakeholder management, innovative sourcing strategies, data driven analysis, market dynamics understanding, executive search, job posting, talent acquisition, recruitment, workforce, decision making, compensation"
Software Engineer - AI,CommerceIQ,2025-09-26,Bengaluru,3-5 Years,"ai development, backend services, java programming, cloud architecture, microservices design, security, software engineer, software engineering, python"
Gen AI Architect,HARMAN INTERNATIONAL,2025-09-26,Bengaluru,5-10 Years,"genai solutions, microservices architecture, graphql proficiency, full stack development, production ready systems, innovation, ideas, cutting, action"
Staff Gen AI Engineer,blue yonder,2025-09-26,Dallas,8-10 Years,"full stack development, ai solutions architecture, backend python expertise, restful api design, cloud technologies familiarity, css, orchestration, java, software engineering, html, javascript, docker, database, security, machine learning, infrastructure"
AI Intern,fixigo,2025-09-26,Bengaluru,0-1 Years,"ai/ml foundations, python programming, sql expertise, browser automation, workflow orchestration, algorithms, information technology, artificial intelligence, docker, security, git, data structures, rest, machine learning"
AI Lead,ETHOS,2025-09-26,Bengaluru,5-9 Years,"artificial intelligence, san, python"
Digital Specialist - AI Workforce,Microsoft India Pvt Ltd,2025-09-26,Dallas,3-4 Years,"consultative selling, ai workforce solutions, stakeholder engagement, business strategy development, technical expertise, orchestration, information technology, artificial intelligence, san"
AI and Digital Officer,Wadhwani Foundation,2025-09-26,Delhi,1-4 Years,"digital transformation, ai implementation, strategic advisory, data security, leadership coordination, digital transformation, service delivery, technology infrastructure, project management, collaboration"
