Title,Company,Posted on,Location,Experience,Skills,Url,Scrape_date
AI Engagement Manager,Adobe Systems Ltd,2025-10-14,Australia,4-10 Years,"['ai engagement strategies', 'digital transformation leadership', 'customer centric approach', 'agile software development', 'data integration expertise', 'sharepoint', 'devops', 'engagement manager', 'director']",https://m.timesjobs.com/mobile/job-detail/ai-engagement-manager-adobe-systems-ltd-australia-4-to-10-yrs-jobid-012FD2nSPRlzpSvf__PLUS__uAgZw==&bc=+&sequence=57,2025-10-14
Forward Deployed AI Engineer,Adobe Systems Ltd,2025-10-14,France,3-5 Years,"['full stack development', 'ai technologies proficiency', 'ci/cd pipeline expertise', 'customer centric mindset', 'orchestration', 'aem', 'storage', 'docker', 'react.js', 'java', 'iam', 'devops', 'xml', 'html', 'vms', 'rest', 'github', 'javascript', 'spring boot', 'node.js', 'technical consultant']",https://m.timesjobs.com/mobile/job-detail/forward-deployed-ai-engineer-adobe-systems-ltd-france-3-to-5-yrs-jobid-4DklsFyUHLJzpSvf__PLUS__uAgZw==&bc=+&sequence=324,2025-10-14
"Customer Engineer, Infrastructure Modernization, AI",Google India Pvt Ltd,2025-10-14,Israel,10-13 Years,"['cloud native architectures', 'virtualization technologies', 'networking expertise', 'ai infrastructure systems', 'stakeholder engagement', 'recruitment', 'workforce', 'decision making', 'processing', 'job posting']",https://m.timesjobs.com/mobile/job-detail/customer-engineer-infrastructure-modernization-ai-google-india-pvt-ltd-israel-dubai-france-10-to-13-yrs-jobid-ilThQc1AQNRzpSvf__PLUS__uAgZw==&bc=+&sequence=757,2025-10-14
Insurance Automation and AI Specialist,Google India Pvt Ltd,2025-10-14,Bengaluru,4-7 Years,"['ai and automation', 'cloud platform expertise', 'data analysis techniques', 'data mining', 'sql', 'python', 'infrastructure']",https://m.timesjobs.com/mobile/job-detail/insurance-automation-and-ai-specialist-google-india-pvt-ltd-bengaluru-bangalore-4-to-7-yrs-jobid-ZJHCcIhV4uhzpSvf__PLUS__uAgZw==&bc=+&sequence=750,2025-10-14
"Finance Manager, Cloud AI",Microsoft India Pvt Ltd,2025-10-14,Redmond,2-5 Years,"['financial analysis', 'data modeling', 'advanced excel', 'executive presentations', 'accounting', 'legal', 'forecasting', 'finance manager']",https://m.timesjobs.com/mobile/job-detail/finance-manager-cloud-ai-microsoft-india-pvt-ltd-redmond-2-to-5-yrs-jobid-QS5hFRnJh__SLASH__lzpSvf__PLUS__uAgZw==&bc=+&sequence=355,2025-10-14
"Customer Engineer, Infrastructure Modernization, AI",Google India Pvt Ltd,2025-10-14,Israel,10-13 Years,"['cloud native architectures', 'virtualization technologies', 'networking expertise', 'ai infrastructure systems', 'stakeholder engagement', 'recruitment', 'workforce', 'decision making', 'processing', 'job posting']",https://m.timesjobs.com/mobile/job-detail/customer-engineer-infrastructure-modernization-ai-google-india-pvt-ltd-israel-dubai-france-10-to-13-yrs-jobid-ilThQc1AQNRzpSvf__PLUS__uAgZw==&bc=+&sequence=749,2025-10-14
AI / ML Engineer,accenture,2025-10-14,Mumbai,7-9 Years,"['large language models', 'deep learning frameworks', 'natural language processing', 'chatbot development', 'cloud ai services', 'image processing', 'artificial intelligence']",https://m.timesjobs.com/mobile/job-detail/ai-ml-engineer-accenture-mumbai-pune-7-to-9-yrs-jobid-3py__SLASH__P0mPp1FzpSvf__PLUS__uAgZw==&bc=+&sequence=56,2025-10-14
"Principal Architect, AI Networking",Nvidia Graphics Pvt Ltd,2025-10-14,Canada,12-15 Years,"['ai workload understanding', 'machine learning proficiency', 'c/c software development', 'networking technologies research', 'fundamentals', 'storage', 'cache', 'computer graphics', 'infrastructure']",https://m.timesjobs.com/mobile/job-detail/principal-architect-ai-networking-nvidia-graphics-pvt-ltd-canada-12-to-15-yrs-jobid-ICMg4vYUrW5zpSvf__PLUS__uAgZw==&bc=+&sequence=354,2025-10-14
"Customer Engineer, Infrastructure Modernization for AI",Google India Pvt Ltd,2025-10-14,Germany,10-13 Years,"['cloud native architectures', 'high performance infrastructure', 'virtualization technologies', 'networking technologies', 'ai infrastructure systems', 'recruitment', 'workforce', 'decision making', 'job posting']",https://m.timesjobs.com/mobile/job-detail/customer-engineer-infrastructure-modernization-for-ai-google-india-pvt-ltd-germany-null-10-to-13-yrs-jobid-wU6KTzbEy41zpSvf__PLUS__uAgZw==&bc=+&sequence=988,2025-10-14
"Content and AI Compliance Specialist, RCI",Google India Pvt Ltd,2025-10-14,Chicago,7-10 Years,"['job posting', 'recruitment', 'workforce', 'compensation']",https://m.timesjobs.com/mobile/job-detail/content-and-ai-compliance-specialist-rci-google-india-pvt-ltd-chicago-7-to-10-yrs-jobid-WzmgPTd9JcpzpSvf__PLUS__uAgZw==&bc=+&sequence=987,2025-10-14
