Title,Company,Posted on,Location,Experience,Skills,Url,Scrape_date
Career Opportunities: Java Backend Developer (45467),Incedo Inc,2025-10-14,Mexico,4-6 Years,"['server side programming', 'scalable backend systems', 'database technologies', 'ci/cd pipelines', 'secure coding practices', 'senior software engineer', 'sql', 'java', 'program manager', 'telecom', 'mongodb', 'python', 'ruby', 'nosql']",https://m.timesjobs.com/mobile/job-detail/career-opportunities-java-backend-developer-45467-incedo-inc-mexico-4-to-6-yrs-jobid-CmOkBuMc__SLASH__ctzpSvf__PLUS__uAgZw==&bc=+&sequence=955,2025-10-14
Full Stack Developer-PLSQL /Java,ORACLE,2025-10-14,Chennai,3-5 Years,"['java programming language', 'microservices architecture', 'webservices (soap/rest)', 'devops and docker', 'sso', 'plsql', 'unix shell scripting', 'j2ee', 'html', 'pl/sql', 'mq', 'eclipse', 'security', 'git', 'middleware', 'junit', 'ant', 'weblogic']",https://m.timesjobs.com/mobile/job-detail/full-stack-developer-plsql-java-oracle-chennai-mumbai-bengaluru-bangalore-pune-3-to-5-yrs-jobid-qWs1zey0Va5zpSvf__PLUS__uAgZw==&bc=+&sequence=749,2025-10-14
Career Opportunities: Java Developer (45288),Incedo Inc,2025-10-14,Mexico,3-5 Years,"['digital transformation', 'data science', 'technology services', 'engineering capabilities', 'domain expertise', 'consulting', 'program manager', 'telecom']",https://m.timesjobs.com/mobile/job-detail/career-opportunities-java-developer-45288-incedo-inc-mexico-3-to-5-yrs-jobid-mupfpuD7ccdzpSvf__PLUS__uAgZw==&bc=+&sequence=809,2025-10-14
"Principal Engineer (Java, AWS)",autodesk india pvt ltd,2025-10-14,Pune,1-9 Years,"['java development', 'aws technologies', 'spring/spring boot framework', 'rest services', 'elastic search', 'database', 'git', 'iam', 'software engineer', 'cloud services', 'problem solving', 'consultant']",https://m.timesjobs.com/mobile/job-detail/principal-engineer-java-aws-autodesk-india-pvt-ltd-pune-1-to-9-yrs-jobid-FFP5fhdBYoxzpSvf__PLUS__uAgZw==&bc=+&sequence=590,2025-10-14
Java SDET,InfoTree Solutions,2025-10-14,Poland,0-3 Years,"['load testing', 'java', 'selenium', 'sdet', 'white box testing', 'automation testing', 'testing', 'test cases', 'qtp', 'ds']",https://m.timesjobs.com/mobile/job-detail/java-sdet-infotree-solutions-0-to-3-yrs-jobid-f3aqVL6s__SLASH__vtzpSvf__PLUS__uAgZw==&bc=+&sequence=110,2025-10-14
"Principal Engineer (Java, AWS, DB)",autodesk india pvt ltd,2025-10-14,Pune,10-13 Years,"['distributed systems', 'database engineering', 'microservices development', 'aws technologies', 'code review standards', 'orchestration', 'docker', 'java', 'postgresql', 'iam', 'devops', 'software engineer', 'mysql', 'nosql', 'spring boot', 'consultant', 'infrastructure']",https://m.timesjobs.com/mobile/job-detail/principal-engineer-java-aws-db-autodesk-india-pvt-ltd-pune-10-to-13-yrs-jobid-7I6wRjsONplzpSvf__PLUS__uAgZw==&bc=+&sequence=808,2025-10-14
JAVA ENGINEER,Caterpillar Inc.,2025-10-14,Slovakia,3-5 Years,"['java development', 'restful api', 'microservices architecture', 'software testing', 'aws deployment', 'telematics', 'debugging', 'mysql', 'html', 'oracle']",https://m.timesjobs.com/mobile/job-detail/java-engineer-caterpillar-inc-3-to-5-yrs-jobid-bhf1ott4CB1zpSvf__PLUS__uAgZw==&bc=+&sequence=109,2025-10-14
Career Opportunities: Java Tech Lead (45278),Incedo Inc,2025-10-14,Mexico,8-10 Years,"['front end development', 'back end technologies', 'programming languages (java', 'python)', 'team leadership', 'code reviews', 'css', 'program manager', 'telecom', 'html', 'javascript', 'spring boot', 'node.js']",https://m.timesjobs.com/mobile/job-detail/career-opportunities-java-tech-lead-45278-incedo-inc-mexico-8-to-10-yrs-jobid-zAvjQ7tWBgVzpSvf__PLUS__uAgZw==&bc=+&sequence=954,2025-10-14
Career Opportunities: Java Developer (45586),Incedo Inc,2025-10-14,Mexico,3-5 Years,"['java programming expertise', 'hibernate proficiency', 'sql and nosql databases', 'postgresql', 'program manager', 'telecom', 'software engineer', 'mysql', 'oracle']",https://m.timesjobs.com/mobile/job-detail/career-opportunities-java-developer-45586-incedo-inc-mexico-3-to-5-yrs-jobid-zXpmABX52tJzpSvf__PLUS__uAgZw==&bc=+&sequence=800,2025-10-14
Medior/Senior Java Developer,CGI Information Systems and Management Consultants Pvt Ltd,2025-10-14,Czech,3-5 Years,"['java development', 'microservices architecture', 'scalable solutions', 'open source technologies', 'java developer']",https://m.timesjobs.com/mobile/job-detail/medior-senior-java-developer-cgi-information-systems-and-management-consultants-pvt-ltd-3-to-5-yrs-jobid-__PLUS__V7Fr__SLASH__rOdcZzpSvf__PLUS__uAgZw==&bc=+&sequence=581,2025-10-14
