Title,Company,Posted on,Location,Experience,Skills
Regional Sales Lead,Integral Ad Science,2025-08-26,Gurgaon,7-10 Years,"sales strategy, client relationship management, revenue generation, data analysis, salesforce"
Senior Staff Software Engineer,Integral Ad Science,2025-08-28,Pune,7-9 Years,"data engineering expertise, sql & data modeling, big data frameworks, json"
Workplace Operations Specialist,Integral Ad Science,2025-08-23,Pune,2-5 Years,"facility coordination, vendor management, space management, health & safety, customer service, conference, security"
Senior Site Reliability Engineer,Integral Ad Science,2025-08-26,Pune,5-8 Years,"site reliability engineering, automation tools implementation, incident troubleshooting, system design and architecture, python programming, hive, algorithms, sql, devops, hadoop, big data, nosql, production support, production environment, infrastructure"
Sales Executive - AdTech,Integral Ad Science,2025-08-26,Mumbai,4-7 Years,"sales development, client relationship, data analysis, revenue quotas, salesforce"
Staff Software Engineer,Integral Ad Science,2025-08-26,Pune,7-10 Years,"java development, spring boot, python proficiency, database technologies, api design, git, postgresql, software engineer, mysql"
Revenue Operations Lead,Hevo Data,2025-09-06,San,5-8 Years,"forecasting models, hubspot administration, data analytics, process optimization, cross functional collaboration, san, shopify, dash"
Engineering Manager,Hevo Data,2025-09-06,Bengaluru,10-13 Years,"backend development, distributed systems, cloud native architecture, team leadership, system design, mentor, technical leader, technical leadership, database, security, software development, mentoring, saas, infrastructure, performance optimization"
SDE II,Hevo Data,2025-09-04,Bengaluru,3-6 Years,"fundamentals, algorithms, debugging, data structures"
Strategy & Ops - SaaS,Hevo Data,2025-09-05,San,3-5 Years,"operational management, stakeholder engagement, strategic planning, data analytics, problem solving, san, rest, shopify, neo4j"
SDE III,Hevo Data,2025-09-03,Bengaluru,3-6 Years,"object oriented design, multithreaded applications, performance optimization, java/python programming, fundamentals, algorithms, debugging"
Ad Sales Executive,Data Portal,2025-09-03,Bengaluru,1-5 Years,"business development, b2b sales, corporate sales, ad sales"
Manager - Sales Development,Hevo Data,2025-09-02,Pune,7-13 Years,"outbound sales strategies, performance tracking metrics, crm proficiency (hubspot/salesforce), coaching and development, business development, b2b, e-commerce, cold calling, marketing, saas, build, leadership role, collaboration, lead generation, selling"
Director - Sales Operations,Hevo Data,2025-08-30,Bengaluru,8-12 Years,"sales planning, data analysis, revenue forecasting, crm management, cross functional collaboration, reports, reporting, revenue recognition, excel, finance"
ABM Specialist,Hevo Data,2025-08-30,Bengaluru,5-8 Years,"campaign execution, data analysis, cross functional collaboration, project management, campaign manager, campaigns, segmentation, marketing automation, marketing programs, hubspot"
Partner Sales Executive  Enterprise & Mid-Market,Hevo Data,2025-08-26,San,6-10 Years,"partner sales strategy, outbound sales execution, stakeholder engagement, crm familiarity, sales process, sales executive, strategic sales, sales engineering, b2b, gtm, technology sales, market, build, saas, collaboration, selling, sales automation"
Technical Program Manager,Hevo Data,2025-08-25,San,4-10 Years,"technical program management, agile methodologies expertise, cross functional collaboration, risk management, delivery excellence, program manager, san, program management, cloud storage"
Talent Acquisition,Hevo Data,2025-08-21,San,2-3 Years,"full cycle recruitment, ats proficiency, talent sourcing, hiring strategies, screening, interview coordination"
Platform Engineer III,Hevo Data,2025-08-20,Bengaluru,5-8 Years,"distributed systems, cloud infrastructure, programming languages, devops practices, monitoring systems, orchestration, oss, docker, java, debugging, mysql, shell scripting, python, ruby, management systems"
Staff Engineer,Hevo Data,2025-08-18,Bengaluru,8-11 Years,"data integration solutions, sql and nosql expertise, programming languages proficiency, python, c, cache, database, java, software engineering"
