Title,Company,Posted on,Location,Experience,Skills
Growth Marketing Manager,learning yogi,2025-08-20,Kolkata,3-6 Years,"digital marketing, email marketing, video marketing, marketing, marketing campaigns, campaigns, search engine optimization, social media marketing, google analytics, seo"
Job Title : Automation Engineer,"armstrong machine builders pvt ltd, nashik",2025-08-20,null,3-6 Years,"automation, hmi/scada programming, troubleshooting, plc programming, component selection, scada system, hmi, plc, commissioning, automation engineer, instrumentation"
Job Title : Assistant Manager Automation,"armstrong machine builders pvt ltd, nashik",2025-08-20,null,6-10 Years,"automation, machine automation, material handling, plc programming, project management, ladder logic, control logix, rockwell, instrumentation, s7, plc, documentation, fbd, machine automation, commissioning, micrologix, sensors, material handling, siemens"
Job Title : Assistant Manager-Electrical Design,"armstrong machine builders pvt ltd, nashik",2025-08-20,null,6-10 Years,"electrical design, cable scheduling, autocad, ms office, plc, iec, cad, electrical engineering, eplan, scada, coordination, design, electronics & telecommunication, technical evaluation, electrical safety, plant layout, electrical design, panel testing, power transmission, sld, designing, control panel, estimation"
Job Title : Project Engineer,"armstrong machine builders pvt ltd, nashik",2025-08-20,null,2-7 Years,"project planning, project execution, installation & commissioning, leadership, project management, project engineer, electro- mechanical, project documentation, msp, autocad, project execution, project planning"
Job Title : Purchase-Procurement Manager,"armstrong machine builders pvt ltd, nashik",2025-08-20,null,10-12 Years,"procurement analysis, supplier management, contract negotiation, supplier performance improvement, ehs implementation, inventory, procurement strategies, category manager, procurement manager, vendor, purchase"
Service Engineer,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Ahmedabad,0-3 Years,"cleaning, hospitality industry, laundry, catering, hospitality, cold kitchen"
Technical Architect,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Ahmedabad,10-13 Years,"cmmi, software development life cycle, java, waterfall, agile, sdlc"
Cloud Architect,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Mumbai,3-6 Years,"jdbc, jquery, sql, oop, database, java, git, xml, asp.net, json, mysql, mvc, api, cloud computing, microsoft azure, nosql, infrastructure, .net, soap"
Senior / Business Development Executive  BDE,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Ahmedabad,4-7 Years,"business development, retail, sales, market, management, saas, lead generation, negotiation, business development executive, client relationship"
Technical Support Engineer,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Hyderabad,3-5 Years,"electronic components, ac drives, repair, plc, spare parts, commissioning, pcb, elevator, wiring harness, instrumentation, servo drives"
IOS Native Automation Engineer,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Ahmedabad,4-6 Years,"memory management, design patterns, software development, sqlite, version control, mentoring"
Sr. SAP CRM Technical Consultant,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Ahmedabad,5-8 Years,"sap netweaver, sap crm, java, bapi, debugging, ale, hana, dialog programming, abap objects, idoc, crm, sap, sap crm technical, alv, edi, web ui, rfc, consultant, sap abap, abap, forms, bsp, pricing"
Sr. SAP PPQM Functional Consultant,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Vadodara,2-3 Years,"bom, customization, data migration, master data management, wm, material master, debugging, hana, master data, apo, sap, c, batch management, snp, functional consultant, ppds, abap"
Jr. Java Full Stack Developer : Angular,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Hyderabad,2-4 Years,"css, html5, cq5, bootstrap, hibernate, jquery, apache tomcat, spring, java, wsdl, apache, git, xml, devops, soap web services, html, mysql, software engineering, mongodb, rest, github, oracle, mobile, javascript, nosql, service design"
Sr. ROR Developer,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Ahmedabad,4-7 Years,"software design, ajax, git, ror, xml, oops, mvc, api, cloud computing, perforce, python, ant, maven, javascript, ruby, unix"
Verification Engineer,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Ahmedabad,7-10 Years,"soc verification, ovm, uvm, verification engineer, gls, vmm, pcie, system verilog, verification, hardware"
Physical Design Engineer,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Ahmedabad,5-10 Years,"physical design, static timing analysis, lvs, schematic, physical verification, floor planning, drc, hardware"
Data Analyst,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Ahmedabad,7-10 Years,"data analysis, dashboards, data analyst, sql, tableau, infrastructure, data visualization"
Head  Learning & Development Adr,ADROIT LEARNING AND MANPOWER PVT LTD,2025-08-20,Ahmedabad,15-18 Years,"management training, training needs, learning, attendance"
